,textList,labelList
0,"['talbott', 'hotel', 'claims', 'be', 'chicagos', 'premiere', 'small', 'luxury', 'hotel', 'staying', 'experiencing', 'service', 'environment', 'hotel', 'general', 'can', 'say', 'confidence', 'isnt', 'true', 'arrived', 'rather', 'high', 'expectations', 'due', 'claims', 'made', 'hotel', 'reviews', 'posted', 'their', 'website', 'immediately', 'disappointed', 'one', 'came', 'car', 'collect', 'bags', 'forced', 'lug', 'inside', 'doorman', 'polite', 'failed', 'even', 'open', 'door', 'leaving', 'fend', 'myself', 'trying', 'carry', 'bags', 'inside', 'atmosphere', 'i', 'expected', 'lighting', 'poor', 'leaving', 'lobby', 'dark', 'looked', 'like', 'dingy', 'setting', 'a', 'glossy', 'veneer', 'an', 'attempt', 'hide', 'degenerate', 'state', 'building', 'the', 'carpet', 'looked', 'dirty', 'if', 'hadnt', 'vacuumed', 'washed', 'quite', 'some', 'time', 'the', 'corners', 'the', 'walls', 'met', 'the', 'ceilings', 'visible', 'water', 'damage', 'i', 'arrived', 'the', 'front', 'desk', 'i', 'was', 'forced', 'wait', 'five', 'minutes', 'someone', 'came', 'help', 'me', 'after', 'checking', 'i', 'went', 'up', 'room', 'was', 'again', 'disappointed', 'the', 'bed', 'was', 'uncomfortable', 'i', 'ran', 'the', 'shower', 'ten', 'minutes', 'without', 'ever', 'receiving', 'hot', 'water', 'night', 'i', 'ordered', 'room', 'service', 'the', 'food', 'took', '45', 'minutes', 'get', 'to', 'my', 'room', 'when', 'finally', 'arrived', 'it', 'was', 'cold', 'the', 'fitness', 'center', 'a', 'very', 'small', 'selection', 'machines', 'caused', 'long', 'lines', 'waiting', 'to', 'use', 'i', 'would', 'certainly', 'recommend', 'this', 'hotel', 'to', 'any', 'my', 'friends', 'and', 'probably', 'not', 'to', 'my', 'enemies', 'either', 'stay', 'away']",0
1,"['selected', 'talbott', 'recent', 'family', 'vacation', 'chicago', 'chose', 'hotel', 'close', 'proximity', 'navy', 'pier', 'otherwise', 'central', 'location', 'retrospect', 'phrase', 'location', 'location', 'location', 'apparently', 'apply', 'hotels', 'its', 'good', 'thing', 'location', 'so', 'great', 'just', 'everything', 'happened', 'inside', 'hotel', 'bad', 'upon', 'arrival', 'room', 'not', 'ready', 'clerk', 'could', 'been', 'nicer', 'whole', 'situation', 'told', 'us', 'simply', 'would', 'wait', 'without', 'offering', 'sort', 'help', 'luggage', 'timetable', 'room', 'would', 'ready', 'we', 'finally', 'arrived', 'room', 'sheets', 'not', 'clean', 'a', 'call', 'housekeeping', 'proved', 'difficult', 'i', 'not', 'speak', 'spanish', 'second', 'day', 'our', 'trip', 'housekeeping', 'never', 'showed', 'clean', 'room', 'despite', 'the', 'presence', 'our', 'please', 'service', 'sign', 'hung', 'the', 'door', 'we', 'stayed', 'for', 'room', 'service', 'a', 'long', 'afternoon', 'michigan', 'ave', 'when', 'the', 'food', 'finally', 'arrived', 'a', 'full', 'hour', 'placing', 'our', 'order', 'cold', 'not', 'good', 'despite', 'poor', 'impressions', 'the', 'management', 'unwilling', 'compromise', 'price', 'checkout', 'call', 'to', 'corporate', 'headquarters', 'was', 'answered', 'a', 'call', 'center', 'mumbai', 'will', 'not', 'receive', 'my', 'business']",0
2,"['recently', 'stayed', 'affinia', 'hotel', 'chicago', 'one', 'worst', 'experiences', 'ive', 'ever', 'highend', 'hotel', 'chicago', 'conference', 'thought', 'would', 'enjoy', 'experience', 'if', 'had', 'somewhere', 'pleasant', 'relaxing', 'return', 'hotel', 'definitely', 'wasnt', 'place', 'restaurants', 'mediocre', 'at', 'best', 'despite', 'high', 'prices', 'repeatedly', 'got', 'food', 'bland', 'overcooked', 'lukewarm', 'room', 'fine', 'nothing', 'special', 'think', 'id', 'been', 'as', 'comfortable', 'almost', 'hotel', 'downtown', 'chicago', 'big', 'part', 'discomfort', 'dissatisfaction', 'hotel', 'though', 'was', 'with', 'jet', 'set', 'pets', 'program', 'hard', 'find', 'decent', 'relaxing', 'hotel', 'ill', 'like', 'will', 'also', 'accept', 'my', 'dog', 'many', 'employees', 'rude', 'my', 'adopted', 'mutt', 'is', 'energetic', 'loves', 'people', 'isnt', 'most', 'photogenic', 'dog', 'has', 'scar', 'his', 'face', 'hes', 'got', 'terrier', 'look', 'multiple', 'people', 'mocked', 'said', 'was', 'point', 'grooming', 'or', 'asked', 'wanted', 'sleeping', 'bed', 'my', 'room', 'know', 'its', 'a', 'fairly', 'highend', 'hotel', 'i', 'would', 'hope', 'better', 'service', 'regardless', 'the', 'class', 'associations', 'the', 'dogs', 'i', 'hope', 'at', 'least', 'treat', 'of', 'the', 'dogs', 'boarded', 'well', 'the', 'experience', 'was', 'overall', 'frustrating', 'unsatisfactory', 'especially', 'the', 'price', 'i', 'can', 'give', 'good', 'marks', 'their', 'spa', 'services', 'i', 'really', 'appreciated', 'the', 'pillow', 'menu', 'but', 'other', 'that', 'it', 'didnt', 'feel', 'like', 'a', 'particularly', 'luxurious', 'or', 'indulgent', 'experience', 'especially', 'given', 'the', 'customer', 'service']",0
3,"['husband', 'stayed', 'at', 'hard', 'rock', 'hotel', 'chicago', 'few', 'months', 'back', 'wasnt', 'particularly', 'impressed', 'their', 'customer', 'service', 'we', 'arrived', 'check', 'front', 'desk', 'clerk', 'quite', 'rude', 'unfriendly', 'was', 'short', 'me', 'i', 'asked', 'about', 'the', 'citys', 'attractions', 'things', 'do', 'room', 'wasnt', 'that', 'great', 'either', 'was', 'rather', 'small', 'had', 'weird', 'smell', 'it', 'i', 'wont', 'staying', 'again']",0
4,"['stayed', 'hard', 'rock', 'hotel', 'chicago', 'recently', 'convention', 'attending', 'first', 'trip', 'chicago', 'idea', 'expect', 'this', 'hotel', 'came', 'recommended', 'colleague', 'high', 'expectations', 'checkin', 'took', 'bit', 'longer', 'would', 'liked', 'experiencing', 'computer', 'problems', 'staff', 'front', 'desk', 'call', 'main', 'reservation', 'line', 'confirm', 'reservations', 'get', 'room', 'strong', 'cigarette', 'odor', 'spite', 'fact', 'it', 'nonsmoking', 'room', 'went', 'front', 'desk', 'requested', 'room', 'change', 'given', 'computer', 'problems', 'took', 'almost', 'hour', 'staff', 'quite', 'surly', 'didnt', 'positive', 'attitude', 'spite', 'any', 'difficulty', 'id', 'expect', 'such', 'high', 'profile', 'establishment', 'new', 'room', 'suite', 'originally', 'booked', 'it', 'significantly', 'fresher', 'smelling', 'hooked', 'laptop', 'dismayed', 'discover', 'no', 'wifi', 'service', 'made', 'reservation', 'online', 'take', 'advantage', 'their', 'free', 'wifi', 'online', 'ressies', 'part', 'their', 'computer', 'problems', 'wifi', 'service', 'fortunately', 'starbucks', 'street', 'available', 'wifi', 'granted', 'i', 'couldnt', 'lounge', 'the', 'starbucks', 'jammies', 'like', 'i', 'could', 'my', 'hotel', 'room', 'connectivity', 'work', 'necessary', 'we', 'make', 'sacrifices', 'i', 'determined', 'let', 'computer', 'problems', 'color', 'my', 'opinion', 'the', 'hotel', 'its', 'not', 'something', 'is', 'necessarily', 'the', 'control', 'local', 'management', 'however', 'the', 'hair', 'the', 'bathroom', 'sink', 'the', 'wet', 'washcloth', 'was', 'the', 'floor', 'behind', 'the', 'toilet', 'definitely', 'the', 'control', 'local', 'management', 'quick', 'call', 'housekeeping', 'got', 'promise', 'to', 'give', 'the', 'room', 'while', 'i', 'was', 'the', 'street', 'starbucks', 'they', 'did', 'promised', 'when', 'i', 'arrived', 'back', 'the', 'room', 'no', 'stray', 'bits', 'previous', 'customers', 'dna', 'the', 'dust', 'bunny', 'population', 'been', 'eradicated', 'once', 'i', 'had', 'a', 'chance', 'to', 'relax', 'the', 'room', 'there', 'were', 'a', 'few', 'minor', 'details', 'stood', 'the', 'carpet', 'was', 'starting', 'to', 'get', 'worn', 'places', 'the', 'edges', 'some', 'the', 'furniture', 'was', 'dinged', 'my', 'personal', 'pet', 'peeve', 'the', 'inside', 'the', 'drawers', 'were', 'rough', 'unfinished', 'wood', 'i', 'dislike', 'as', 'the', 'little', 'splinters', 'cause', 'runs', 'my', 'clothes', 'i', 'would', 'expected', 'higher', 'quality', 'furniture', 'such', 'a', 'hotel', 'all', 'things', 'considered', 'my', 'stay', 'was', 'tolerable', 'water', 'pressure', 'was', 'good', 'it', 'was', 'quiet', 'enough', 'night', 'to', 'get', 'decent', 'sleep', 'the', 'wifi', 'was', 'still', 'down', 'in', 'the', 'morning', 'i', 'checked', 'early', 'spent', 'my', 'time', 'enjoying', 'a', 'latte', 'free', 'wifi', 'starbucks']",0
5,"['have', 'visited', 'chicago', 'family', 'several', 'times', 'have', 'never', 'such', 'horrible', 'hotel', 'experience', 'staff', 'rude', 'unhelpful', 'they', 'overcharged', 'my', 'card', 'more', '300', 'spend', 'whole', 'morning', 'phone', 'trying', 'get', 'finally', 'fix', 'mistake', 'hotel', 'didnt', 'live', 'to', 'expectations', 'eitherthe', 'inside', 'dingy', 'needed', 'cleaning', 'our', 'room', 'looked', 'like', 'bunch', 'chain', 'smokers', 'just', 'thrown', 'crazy', 'party', 'the', 'room', 'were', 'cigarette', 'burns', 'the', 'sheets', 'stains', 'the', 'floor', 'a', 'hole', 'the', 'wall', 'looked', 'like', 'someone', 'had', 'punched', 'it', 'we', 'requested', 'another', 'room', 'was', 'marginally', 'better', 'terms', 'cleanliness', 'to', 'kept', 'all', 'night', 'the', 'noise', 'our', 'neighbors', 'yelling', 'hanging', 'the', 'hallway', 'there', 'are', 'plenty', 'other', 'places', 'to', 'stay', 'in', 'chicago', 'avoid', 'hard', 'rock', 'all', 'costs']",0
6,"['extremly', 'unhappy', 'my', 'recent', 'stay', 'affinia', 'chicago', 'arrived', 'check', 'my', 'reservation', 'i', 'made', 'confirmed', '2', 'weeks', 'earlier', 'not', 'computeri', 'to', 'wait', '40', 'minutes', 'lobby', 'a', 'room', 'was', 'being', 'cleaned', 'the', 'whole', 'time', 'the', 'desk', 'clerk', 'gave', 'me', 'dirty', 'looks', 'texted', 'nonstop', 'her', 'cell', 'phone', 'the', 'office', 'phone', 'rang', 'the', 'hook', 'i', 'had', 'toilet', 'paper', 'my', 'restroom', 'trash', 'in', 'roomill', 'never', 'go', 'backdont', 'waste', 'money']",0
7,"['terrible', 'experience', 'family', 'at', 'affinia', 'chicago', 'first', 'all', 'reserved', 'room', '2', 'queen', 'size', 'beds', 'received', '1', 'king', 'size', 'bed', 'a', 'cot', 'got', 'the', 'room', 'we', 'found', 'hair', 'balls', 'the', 'floor', 'if', 'a', 'cat', 'previously', 'stayed', 'what', 'absolute', 'terror', 'affinia', 'and', 'i', 'will', 'never', 'going', 'back']",0
8,"['warning', 'stay', 'talbott', 'hotel', 'go', 'history', 'one', 'my', 'worst', 'experiences', 'staying', 'hotels', 'excited', 'weekend', 'getaway', 'friends', 'receiving', 'few', 'positive', 'recommendations', 'looking', 'their', 'website', 'decided', 'stay', 'talbott', 'promoting', '30', 'breakfast', 'credit', 'per', 'day', 'breakfast', 'my', 'favorite', 'meal', 'already', 'looking', 'like', 'a', 'great', 'time', 'upon', 'arrival', 'greeted', 'an', 'employee', 'wouldnt', 'known', 'told', 'us', 'only', 'rude', 'made', 'sexual', 'advances', 'one', 'ladies', 'our', 'group', 'talked', 'a', 'manager', 'incident', 'outside', 'he', 'assured', 'us', 'he', 'would', 'take', 'care', 'issue', 'even', 'upgraded', 'us', 'king', 'suites', 'instead', 'the', 'double', 'size', 'rooms', 'originally', 'reserved', 'someone', 'blindfolded', 'took', 'into', 'one', 'these', 'rooms', 'would', 'sworn', 'we', 'were', 'motel', '6', 'a', 'luxury', 'hotel', 'in', 'chicago', 'the', 'linens', 'were', 'stained', 'room', 'smelled', 'smoke', 'had', 'another', 'odor', 'was', 'similar', 'old', 'cat', 'pee', 'was', 'truly', 'disgusted', 'a', 'night', 'on', 'the', 'town', 'we', 'came', 'back', 'our', 'disgusting', 'rooms', 'get', 'sleep', 'the', 'next', 'morning', 'was', 'excited', 'our', 'breakfast', 'was', 'highly', 'recommended', 'the', 'hotel', 'other', 'guests', 'have', 'say', 'was', 'one', 'the', 'worst', 'breakfasts', 'have', 'ever', 'eaten', 'the', 'toast', 'was', 'stale', 'eggs', 'were', 'made', 'powder', 'instead', 'real', 'eggs', 'and', 'the', 'juice', 'served', 'was', 'sour', 'would', 'never', 'recommend', 'this', 'as', 'a', 'place', 'to', 'stay', 'would', 'suggest', 'the', 'red', 'roof', 'inn', 'this', 'place', 'anytime']",0
9,"['high', 'hopes', 'ambassador', 'east', 'hotel', 'really', 'it', 'seemed', 'like', 'nice', 'enough', 'place', 'reasonably', 'close', 'beach', 'access', 'arrived', 'hotel', 'tuesday', 'afternoon', 'immediately', 'surprised', 'state', 'disrepair', 'building', 'could', 'actually', 'see', 'two', 'members', 'hotel', 'maintenance', 'parking', 'lot', 'sitting', 'their', 'truck', 'nothing', 'walked', 'nobody', 'greeted', 'nobody', 'offered', 'take', 'bags', 'hotel', 'furniture', 'looked', 'quaint', 'outdated', 'a', 'fine', 'covering', 'dust', 'went', 'counter', 'check', 'disinterested', 'girl', 'working', 'barely', 'glanced', 'my', 'papers', 'slid', 'my', 'keys', 'while', 'avoiding', 'eye', 'contact', 'typing', 'the', 'computer', 'got', 'my', 'room', 'despite', 'specifically', 'asking', 'nonsmoking', 'a', 'distinct', 'smell', 'cigarettes', 'inside', 'the', 'hallway', 'paid', 'extra', 'an', 'upgraded', 'room', 'extremely', 'disappointed', 'the', 'condition', 'inside', 'the', 'drinking', 'glasses', 'filthy', 'the', 'towels', 'smelled', 'mold', 'actually', 'trash', 'left', 'in', 'the', 'bathroom', 'trash', 'the', 'television', 'a', 'basic', 'crt', 'looked', 'be', 'fifteen', 'years', 'old', 'there', 'channel', 'guide', 'though', 'suppose', 'didnt', 'need', 'one', 'the', 'six', 'channels', 'it', 'had', 'heard', 'good', 'things', 'the', 'food', 'the', 'ambassador', 'east', 'hotel', 'alas', 'there', 'was', 'no', 'respite', 'the', 'room', 'service', 'i', 'ordered', 'took', 'forty', 'minutes', 'arrive', 'my', 'steak', 'was', 'cold', 'cooked', 'beyond', 'well', 'done', 'elsewhere', 'in', 'the', 'hotel', 'things', 'no', 'better', 'everywhere', 'i', 'went', 'the', 'pool', 'the', 'bar', 'the', 'staff', 'was', 'hasty', 'rude', 'and', 'completely', 'uninterested', 'and', 'nowhere', 'was', 'particularly', 'clean', 'well', 'decorated', 'i', 'really', 'wanted', 'like', 'the', 'ambassador', 'east', 'hotel', 'unfortunately', 'the', 'best', 'part', 'my', 'stay', 'was', 'checking']",0
